condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
llm_tom_mixed,A001,LLMAgent_tom,5.95,0.7274,12.528,0.7846,0.9901,2320,80
llm_tom_mixed,A002,LLMAgent_tom,5.975,0.7287,12.503,0.8194,0.9899,2320,80
llm_tom_mixed,A003,LLMAgent_tom,6.05,0.7098,12.428,0.7503,0.9913,2295,79
llm_tom_mixed,A004,LLMAgent_tom,6.075,0.6708,12.403,0.6428,0.992,2320,80
llm_tom_mixed,A005,LLMAgent_tom,6,0.7463,12.478,0.8399,0.9897,2294,79
llm_tom_mixed,A006,LLMAgent_tom,5.9875,0.7712,12.4905,0.7902,0.9868,2320,80
llm_tom_mixed,A007,BeliefBasedAgent,6.1,0.7564,12.378,0.8203,0.9887,2320,0
llm_tom_mixed,A008,ConditionalAgent,5.0375,0.7538,13.4405,0.7904,,0,0
llm_tom_mixed,A009,TitForTatAgent,5.225,0.4202,13.253,0.5039,,0,0
llm_tom_mixed,A010,CooperatorAgent,8.8125,1.1261,9.6655,1.1077,,0,0
llm_tom_mixed,A011,DefectorAgent,0.9375,0.8167,17.5405,0.9024,,0,0
llm_tom_mixed,A012,RandomAgent,5.4375,3.3934,13.0405,3.1818,,0,0
llm_tom_mixed,A013,BeliefBasedAgent,6.0125,0.7203,12.4655,0.8673,0.9904,2320,0
llm_tom_mixed,A014,ConditionalAgent,4.9875,0.7025,13.4905,0.8071,,0,0
llm_tom_mixed,A015,TitForTatAgent,5.225,0.4202,13.253,0.5039,,0,0
llm_tom_mixed,A016,CooperatorAgent,8.35,1.1374,10.128,1.1182,,0,0
llm_tom_mixed,A017,DefectorAgent,0.9125,0.7325,17.5655,0.848,,0,0
llm_tom_mixed,A018,RandomAgent,4.875,3.0909,13.603,2.9602,,0,0
llm_tom_mixed,A019,BeliefBasedAgent,5.9375,0.7521,12.5405,0.7313,0.9886,2320,0
llm_tom_mixed,A020,ConditionalAgent,4.9375,0.7521,13.5405,0.754,,0,0
llm_tom_mixed,A021,TitForTatAgent,5.25,0.5156,13.228,0.53,,0,0
llm_tom_mixed,A022,CooperatorAgent,8.5125,1.1362,9.9655,1.1921,,0,0
llm_tom_mixed,A023,DefectorAgent,0.975,0.8416,17.503,0.8854,,0,0
llm_tom_mixed,A024,RandomAgent,5.1125,3.1381,13.3655,2.9603,,0,0
llm_tom_mixed,A025,BeliefBasedAgent,6.05,0.7446,12.428,0.791,0.989,2320,0
llm_tom_mixed,A026,ConditionalAgent,4.925,0.7252,13.553,0.8552,,0,0
llm_tom_mixed,A027,TitForTatAgent,5.2375,0.4568,13.2405,0.5049,,0,0
llm_tom_mixed,A028,CooperatorAgent,8.5125,1.1137,9.9655,1.1439,,0,0
llm_tom_mixed,A029,DefectorAgent,0.8875,0.7955,17.5905,0.8993,,0,0
llm_tom_mixed,A030,RandomAgent,4.675,3.0885,13.803,3.0517,,0,0
